model,mae_total,rmse_total,mae_stable,rmse_stable,mae_volatile,rmse_volatile,mae_ratio,rmse_ratio,n_stable,n_volatile,coin
Baseline,0.03593421232100743,0.05230992368258323,0.018048764615219176,0.025250400352634438,0.05837478237027728,0.08000214696207758,3.234281326991997,3.168351623927054,806,801,BTC
"ARIMA(1,0,1)",0.023974875433400194,0.03666186785061157,0.012592515028720363,0.01862852829241883,0.037445944077809434,0.05375070838015708,2.9736668165497235,2.8853974686788204,806,801,BTC
ML (HistGradientBoosting),0.0233539368561373,0.03482511243729601,0.012209378415675666,0.01679489875241377,0.03753691606287818,0.05324346267125823,3.0744330124688735,3.1702163529628935,806,801,BTC
Baseline,0.046849430415590206,0.06631286436089864,0.02707720973953644,0.035798382919500035,0.0715504388182331,0.09858582583813005,2.642459821617426,2.7539184118964366,645,617,ETH
"ARIMA(1,0,1)",0.03102593524869087,0.04583783330312705,0.0179312792300328,0.025082976184991,0.046298821462967495,0.06654354459538041,2.582014415648738,2.6529365616189646,645,617,ETH
ML (HistGradientBoosting),0.029216281626989138,0.04205888713571138,0.016771277353157275,0.022544307805750615,0.04446702932368929,0.06188764702810494,2.6513799985138373,2.7451562301823524,645,617,ETH
